,iso_code,location,date,total_cases,total_deaths,stringency_index,population,Region,Area (sq. mi.),KEYCODE&DATE,DATE,European Union,European Single Market,Week_Num,Month,day,Dates,Cases_x_Area,Cases_x_Pop,Cumulative Deaths_%_Cases,PopMi2,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_IndexL4_L5
371,AUT,Austria,2020-03-18,1332.0,3.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,0.0,107.4,4.0,EU,1150.0,,True
372,AUT,Austria,2020-03-25,5282.0,30.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.1,0.0,0.0,107.4,4.0,EU,3950.0,27.0,True
373,AUT,Austria,2020-04-01,10182.0,128.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.1,0.0,0.0,107.4,4.0,EU,4900.0,98.0,True
374,AUT,Austria,2020-04-08,12640.0,243.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.2,0.0,0.0,107.4,4.0,EU,2458.0,115.0,True
375,AUT,Austria,2020-04-15,14234.0,384.0,81.48,9006400,WESTERN EUROPE,83870.0,AUT2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.2,0.0,0.0,107.4,4.0,EU,1594.0,141.0,True
376,AUT,Austria,2020-04-22,14833.0,463.0,81.48,9006400,WESTERN EUROPE,83870.0,AUT2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.2,0.0,0.0,107.4,4.0,EU,599.0,79.0,True
377,AUT,Austria,2020-04-29,15314.0,569.0,78.7,9006400,WESTERN EUROPE,83870.0,AUT2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.2,0.0,0.0,107.4,4.0,EU,481.0,106.0,True
615,BEL,Belgium,2020-03-18,3098.0,62.0,73.15,11589616,WESTERN EUROPE,30528.0,BEL2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.1,0.0,0.0,379.6,4.0,EU,2324.0,58.0,True
616,BEL,Belgium,2020-03-25,9150.0,478.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.3,0.0,0.1,379.6,4.0,EU,6052.0,416.0,True
617,BEL,Belgium,2020-04-01,18493.0,1608.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.6,0.0,0.1,379.6,4.0,EU,9343.0,1130.0,True
618,BEL,Belgium,2020-04-08,28299.0,3434.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.9,0.0,0.1,379.6,4.0,EU,9806.0,1826.0,True
619,BEL,Belgium,2020-04-15,38157.0,5375.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,1.2,0.0,0.1,379.6,4.0,EU,9858.0,1941.0,True
620,BEL,Belgium,2020-04-22,45713.0,6814.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,1.5,0.0,0.1,379.6,4.0,EU,7556.0,1439.0,True
621,BEL,Belgium,2020-04-29,49939.0,7773.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,1.6,0.0,0.2,379.6,4.0,EU,4226.0,959.0,True
622,BEL,Belgium,2020-05-06,52956.0,8374.0,78.7,11589616,WESTERN EUROPE,30528.0,BEL2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,1.7,0.0,0.2,379.6,4.0,EU,3017.0,601.0,True
623,BEL,Belgium,2020-05-13,55431.0,8828.0,75.0,11589616,WESTERN EUROPE,30528.0,BEL2020-05-13,2020-05-13,Member,Member,19,May,Wednesday,20200513,1.8,0.0,0.2,379.6,4.0,EU,2475.0,454.0,True
624,BEL,Belgium,2020-05-20,57304.0,9077.0,75.0,11589616,WESTERN EUROPE,30528.0,BEL2020-05-20,2020-05-20,Member,Member,20,May,Wednesday,20200520,1.9,0.0,0.2,379.6,4.0,EU,1873.0,249.0,True
625,BEL,Belgium,2020-05-27,58518.0,9284.0,75.0,11589616,WESTERN EUROPE,30528.0,BEL2020-05-27,2020-05-27,Member,Member,21,May,Wednesday,20200527,1.9,0.0,0.2,379.6,4.0,EU,1214.0,207.0,True
626,BEL,Belgium,2020-06-03,59363.0,9435.0,75.0,11589616,WESTERN EUROPE,30528.0,BEL2020-06-03,2020-06-03,Member,Member,22,Jun,Wednesday,20200603,1.9,0.0,0.2,379.6,4.0,EU,845.0,151.0,True
964,BGR,Bulgaria,2020-03-18,81.0,2.0,70.37,6948445,EASTERN EUROPE,110910.0,BGR2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,0.0,62.6,4.0,EU,,,True
965,BGR,Bulgaria,2020-03-25,220.0,3.0,73.15,6948445,EASTERN EUROPE,110910.0,BGR2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,62.6,4.0,EU,139.0,1.0,True
966,BGR,Bulgaria,2020-04-01,399.0,8.0,71.3,6948445,EASTERN EUROPE,110910.0,BGR2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,62.6,4.0,EU,179.0,5.0,True
967,BGR,Bulgaria,2020-04-08,577.0,23.0,71.3,6948445,EASTERN EUROPE,110910.0,BGR2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.0,0.0,0.0,62.6,4.0,EU,178.0,15.0,True
968,BGR,Bulgaria,2020-04-15,713.0,35.0,73.15,6948445,EASTERN EUROPE,110910.0,BGR2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.0,0.0,0.0,62.6,4.0,EU,136.0,12.0,True
969,BGR,Bulgaria,2020-04-22,975.0,45.0,73.15,6948445,EASTERN EUROPE,110910.0,BGR2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.0,0.0,0.0,62.6,4.0,EU,262.0,10.0,True
970,BGR,Bulgaria,2020-04-29,1399.0,58.0,73.15,6948445,EASTERN EUROPE,110910.0,BGR2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.0,0.0,0.0,62.6,4.0,EU,424.0,13.0,True
1491,HRV,Croatia,2020-03-25,382.0,1.0,96.3,4105268,EASTERN EUROPE,56542.0,HRV2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,72.6,5.0,EU,313.0,,True
1492,HRV,Croatia,2020-04-01,867.0,6.0,96.3,4105268,EASTERN EUROPE,56542.0,HRV2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,72.6,5.0,EU,485.0,5.0,True
1493,HRV,Croatia,2020-04-08,1282.0,18.0,96.3,4105268,EASTERN EUROPE,56542.0,HRV2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.0,0.0,0.0,72.6,5.0,EU,415.0,12.0,True
1494,HRV,Croatia,2020-04-15,1704.0,31.0,96.3,4105268,EASTERN EUROPE,56542.0,HRV2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.0,0.0,0.0,72.6,5.0,EU,422.0,13.0,True
1495,HRV,Croatia,2020-04-22,1908.0,48.0,96.3,4105268,EASTERN EUROPE,56542.0,HRV2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.0,0.0,0.0,72.6,5.0,EU,204.0,17.0,True
1496,HRV,Croatia,2020-04-29,2047.0,63.0,89.81,4105268,EASTERN EUROPE,56542.0,HRV2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.0,0.0,0.0,72.6,4.0,EU,139.0,15.0,True
1497,HRV,Croatia,2020-05-06,2112.0,83.0,89.81,4105268,EASTERN EUROPE,56542.0,HRV2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.0,0.0,0.0,72.6,4.0,EU,65.0,20.0,True
1498,HRV,Croatia,2020-05-13,2207.0,91.0,70.37,4105268,EASTERN EUROPE,56542.0,HRV2020-05-13,2020-05-13,Member,Member,19,May,Wednesday,20200513,0.0,0.0,0.0,72.6,4.0,EU,95.0,8.0,True
1499,HRV,Croatia,2020-05-20,2232.0,96.0,70.37,4105268,EASTERN EUROPE,56542.0,HRV2020-05-20,2020-05-20,Member,Member,20,May,Wednesday,20200520,0.0,0.0,0.0,72.6,4.0,EU,25.0,5.0,True
1577,CYP,Cyprus,2020-03-25,124.0,3.0,92.59,875899,NEAR EAST,9250.0,CYP2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,94.7,5.0,EU,84.0,,True
1578,CYP,Cyprus,2020-04-01,262.0,8.0,92.59,875899,NEAR EAST,9250.0,CYP2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,94.7,5.0,EU,138.0,5.0,True
1579,CYP,Cyprus,2020-04-08,494.0,9.0,92.59,875899,NEAR EAST,9250.0,CYP2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.1,0.0,0.0,94.7,5.0,EU,232.0,1.0,True
1580,CYP,Cyprus,2020-04-15,695.0,12.0,92.59,875899,NEAR EAST,9250.0,CYP2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.1,0.0,0.0,94.7,5.0,EU,201.0,3.0,True
1581,CYP,Cyprus,2020-04-22,784.0,12.0,94.44,875899,NEAR EAST,9250.0,CYP2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.1,0.0,0.0,94.7,5.0,EU,89.0,0.0,True
1582,CYP,Cyprus,2020-04-29,837.0,15.0,94.44,875899,NEAR EAST,9250.0,CYP2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.1,0.0,0.0,94.7,5.0,EU,53.0,3.0,True
1583,CYP,Cyprus,2020-05-06,878.0,15.0,92.59,875899,NEAR EAST,9250.0,CYP2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.1,0.0,0.0,94.7,5.0,EU,41.0,0.0,True
1584,CYP,Cyprus,2020-05-13,903.0,16.0,92.59,875899,NEAR EAST,9250.0,CYP2020-05-13,2020-05-13,Member,Member,19,May,Wednesday,20200513,0.1,0.0,0.0,94.7,5.0,EU,25.0,1.0,True
1585,CYP,Cyprus,2020-05-20,918.0,17.0,92.59,875899,NEAR EAST,9250.0,CYP2020-05-20,2020-05-20,Member,Member,20,May,Wednesday,20200520,0.1,0.0,0.0,94.7,5.0,EU,15.0,1.0,True
1586,CYP,Cyprus,2020-05-27,939.0,17.0,76.85,875899,NEAR EAST,9250.0,CYP2020-05-27,2020-05-27,Member,Member,21,May,Wednesday,20200527,0.1,0.0,0.0,94.7,4.0,EU,21.0,0.0,True
1587,CYP,Cyprus,2020-06-03,952.0,17.0,76.85,875899,NEAR EAST,9250.0,CYP2020-06-03,2020-06-03,Member,Member,22,Jun,Wednesday,20200603,0.1,0.0,0.0,94.7,4.0,EU,13.0,0.0,True
1615,CZE,Czech Republic,2020-03-18,434.0,,79.63,10708982,EASTERN EUROPE,78866.0,CZE2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,,135.8,4.0,EU,371.0,,True
1616,CZE,Czech Republic,2020-03-25,1394.0,3.0,82.41,10708982,EASTERN EUROPE,78866.0,CZE2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,135.8,4.0,EU,960.0,,True
1617,CZE,Czech Republic,2020-04-01,3308.0,31.0,82.41,10708982,EASTERN EUROPE,78866.0,CZE2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,135.8,4.0,EU,1914.0,28.0,True
1618,CZE,Czech Republic,2020-04-08,5017.0,88.0,74.07,10708982,EASTERN EUROPE,78866.0,CZE2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.1,0.0,0.0,135.8,4.0,EU,1709.0,57.0,True
1619,CZE,Czech Republic,2020-04-15,6141.0,161.0,71.3,10708982,EASTERN EUROPE,78866.0,CZE2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.1,0.0,0.0,135.8,4.0,EU,1124.0,73.0,True
1684,DNK,Denmark,2020-03-18,1024.0,4.0,72.22,5792203,WESTERN EUROPE,43094.0,DNK2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,0.0,134.4,4.0,EU,760.0,,True
1685,DNK,Denmark,2020-03-25,1591.0,32.0,72.22,5792203,WESTERN EUROPE,43094.0,DNK2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,134.4,4.0,EU,567.0,28.0,True
1686,DNK,Denmark,2020-04-01,2860.0,90.0,72.22,5792203,WESTERN EUROPE,43094.0,DNK2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.1,0.0,0.0,134.4,4.0,EU,1269.0,58.0,True
1687,DNK,Denmark,2020-04-08,5071.0,203.0,72.22,5792203,WESTERN EUROPE,43094.0,DNK2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.1,0.0,0.0,134.4,4.0,EU,2211.0,113.0,True
1983,EST,Estonia,2020-04-01,745.0,4.0,77.78,1326539,BALTICS,45226.0,EST2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,29.3,4.0,EU,376.0,,True
1984,EST,Estonia,2020-04-08,1149.0,21.0,77.78,1326539,BALTICS,45226.0,EST2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.0,0.0,0.0,29.3,4.0,EU,404.0,17.0,True
1985,EST,Estonia,2020-04-15,1373.0,31.0,77.78,1326539,BALTICS,45226.0,EST2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.0,0.0,0.0,29.3,4.0,EU,224.0,10.0,True
1986,EST,Estonia,2020-04-22,1552.0,43.0,77.78,1326539,BALTICS,45226.0,EST2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.0,0.0,0.0,29.3,4.0,EU,179.0,12.0,True
1987,EST,Estonia,2020-04-29,1660.0,50.0,75.0,1326539,BALTICS,45226.0,EST2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.0,0.0,0.0,29.3,4.0,EU,108.0,7.0,True
1988,EST,Estonia,2020-05-06,1711.0,55.0,75.0,1326539,BALTICS,45226.0,EST2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.0,0.0,0.0,29.3,4.0,EU,51.0,5.0,True
2179,FRA,France,2020-03-18,7730.0,175.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,0.0,119.3,4.0,EU,5946.0,142.0,True
2180,FRA,France,2020-03-25,22302.0,1100.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.0,0.0,0.0,119.3,4.0,EU,14572.0,925.0,True
2181,FRA,France,2020-04-01,52128.0,3523.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.1,0.0,0.1,119.3,4.0,EU,29826.0,2423.0,True
2182,FRA,France,2020-04-08,78167.0,10328.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.1,0.0,0.1,119.3,4.0,EU,26039.0,6805.0,True
2183,FRA,France,2020-04-15,103573.0,15729.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.2,0.0,0.2,119.3,4.0,EU,25406.0,5401.0,True
2184,FRA,France,2020-04-22,117324.0,20796.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.2,0.0,0.2,119.3,4.0,EU,13751.0,5067.0,True
2185,FRA,France,2020-04-29,126835.0,23660.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.2,0.0,0.2,119.3,4.0,EU,9511.0,2864.0,True
2186,FRA,France,2020-05-06,132967.0,25531.0,87.96,65273512,WESTERN EUROPE,547030.0,FRA2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.2,0.0,0.2,119.3,4.0,EU,6132.0,1871.0,True
2187,FRA,France,2020-05-13,140227.0,26991.0,74.07,65273512,WESTERN EUROPE,547030.0,FRA2020-05-13,2020-05-13,Member,Member,19,May,Wednesday,20200513,0.3,0.0,0.2,119.3,4.0,EU,7260.0,1460.0,True
2188,FRA,France,2020-05-20,143427.0,28022.0,74.07,65273512,WESTERN EUROPE,547030.0,FRA2020-05-20,2020-05-20,Member,Member,20,May,Wednesday,20200520,0.3,0.0,0.2,119.3,4.0,EU,3200.0,1031.0,True
2189,FRA,France,2020-05-27,145555.0,28530.0,72.22,65273512,WESTERN EUROPE,547030.0,FRA2020-05-27,2020-05-27,Member,Member,21,May,Wednesday,20200527,0.3,0.0,0.2,119.3,4.0,EU,2128.0,508.0,True
2344,DEU,Germany,2020-03-25,31554.0,149.0,76.85,83783945,WESTERN EUROPE,357021.0,DEU2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.1,0.0,0.0,234.7,4.0,EU,24398.0,136.0,True
